CSV,size,test,oldTime,old,new,default,old/default,dim. Est,diam. Est,meanSpacing est,var spacing est
CSV-balanced,50625,10000,1.380,639.690,641.133,641.320,1.00,4.0940,2.6688,0.1253,0.0180
CSV-LEFT,50625,10000,2.760,1263.073,1278.594,1271.089,0.99,4.0940,2.6688,0.1253,0.0180
CSV-SHORT,50625,10000,1.390,641.241,1356.237,1351.196,0.47,4.3701,2.6688,0.1253,0.0180
CSV-balanced,160000,10000,1.840,799.357,803.172,803.544,0.99,4.0940,2.7226,0.0926,0.0099
CSV-LEFT,160000,10000,7.880,3119.656,3093.728,3089.490,1.01,4.5257,2.7226,0.0926,0.0099
CSV-SHORT,160000,10000,1.820,802.774,1647.610,1638.762,0.49,4.3701,2.7226,0.0926,0.0099
CSV-balanced,390625,10000,2.450,948.717,951.854,951.295,1.00,4.5257,2.7157,0.0734,0.0063
CSV-LEFT,390625,10000,6.170,2248.091,2264.186,2257.397,1.00,4.0940,2.7157,0.0734,0.0063
CSV-SHORT,390625,10000,2.480,955.005,2019.970,2017.291,0.47,4.8666,2.7157,0.0734,0.0063
CSV-balanced,810000,10000,3.290,1121.762,1124.177,1125.534,1.00,4.5257,2.6630,0.0607,0.0043
CSV-LEFT,810000,10000,15.510,4769.162,4705.245,4704.113,1.01,4.5257,2.6630,0.0607,0.0043
CSV-SHORT,810000,10000,3.280,1120.589,1722.560,1123.518,1.00,4.8666,2.6630,0.0607,0.0043
