CSV,size,test,oldTime,old,new,default,old/default,dim. Est,diam. Est,meanSpacing est,var spacing est
CSV-balanced,2187,10000,0.116,51.608,51.450,51.500,1.00,0.8748,1.2292,0.0237,0.0033
CSV-LEFT,2187,10000,0.266,122.021,121.966,122.080,1.00,0.8748,1.2292,0.0237,0.0033
CSV-SHORT,2187,10000,0.116,51.445,55.521,55.594,0.93,0.8748,1.2292,0.0237,0.0033
CSV-balanced,6561,10000,0.567,289.969,289.930,289.772,1.00,0.0000,1.8388,0.0139,0.0016
CSV-LEFT,6561,10000,0.456,228.118,228.342,228.043,1.00,1.4596,1.8388,0.0139,0.0016
CSV-SHORT,6561,10000,0.568,289.985,293.589,293.462,0.99,1.4596,1.8388,0.0139,0.0016
CSV-balanced,19683,10000,0.329,161.294,160.595,161.038,1.00,2.7613,1.3641,0.0065,0.0006
CSV-LEFT,19683,10000,0.806,395.016,394.874,394.755,1.00,2.7613,1.3641,0.0065,0.0006
CSV-SHORT,19683,10000,0.334,160.435,164.724,160.655,1.00,2.7613,1.3641,0.0065,0.0006
CSV-balanced,4096,10000,0.365,179.779,180.167,179.733,1.00,1.7073,1.1496,0.0298,0.0028
CSV-LEFT,4096,10000,0.770,393.937,393.137,393.241,1.00,1.7073,1.1496,0.0298,0.0028
CSV-SHORT,4096,10000,0.364,179.809,183.982,184.230,0.98,1.7073,1.1496,0.0298,0.0028
CSV-balanced,16384,10000,0.413,202.774,202.146,202.296,1.00,0.7944,1.3737,0.0160,0.0010
CSV-LEFT,16384,10000,0.781,399.672,399.501,398.589,1.00,0.7944,1.3737,0.0160,0.0010
CSV-SHORT,16384,10000,0.409,202.155,205.929,205.208,0.99,0.7944,1.3737,0.0160,0.0010
CSV-balanced,65536,10000,0.456,223.647,223.956,223.841,1.00,2.1249,1.1098,0.0073,0.0003
CSV-LEFT,65536,10000,0.888,448.165,447.914,447.902,1.00,2.1249,1.1098,0.0073,0.0003
CSV-SHORT,65536,10000,0.457,223.703,225.417,225.650,0.99,2.1249,1.1098,0.0073,0.0003
CSV-balanced,15625,10000,0.530,264.241,263.033,262.876,1.01,3.3042,1.5776,0.0249,0.0017
CSV-LEFT,15625,10000,1.449,747.820,747.997,747.314,1.00,3.3042,1.5776,0.0249,0.0017
CSV-SHORT,15625,10000,0.531,263.147,267.000,263.253,1.00,3.3042,1.5776,0.0249,0.0017
CSV-balanced,78125,10000,0.673,334.812,335.249,335.452,1.00,2.5689,1.3479,0.0093,0.0004
CSV-LEFT,78125,10000,1.064,535.558,538.376,538.389,0.99,2.5689,1.3479,0.0093,0.0004
CSV-SHORT,78125,10000,0.682,334.842,339.245,334.966,1.00,2.5689,1.3479,0.0093,0.0004
