CSV,size,test,oldTime,old,new,default,old/default,dim. Est,diam. Est,meanSpacing est,var spacing est
CSV-balanced,10000,10000,0.094,44.041,43.885,43.664,1.01,0.9982,0.4627,0.0010,0.0001
CSV-LEFT,10000,10000,0.251,125.089,124.474,123.971,1.01,0.9982,0.4627,0.0010,0.0001
CSV-SHORT,10000,10000,0.092,43.826,40.202,40.040,1.09,0.9982,0.4627,0.0010,0.0001
CSV-balanced,10000,10000,0.220,103.356,103.522,103.546,1.00,1.7434,0.8136,0.0200,0.0007
CSV-LEFT,10000,10000,0.434,208.606,206.755,207.996,1.00,1.7434,0.8136,0.0200,0.0007
CSV-SHORT,10000,10000,0.220,104.088,225.742,225.332,0.46,1.7434,0.8136,0.0200,0.0007
CSV-balanced,10000,10000,0.404,185.797,186.201,186.461,1.00,2.6592,1.1162,0.0720,0.0038
CSV-LEFT,10000,10000,0.845,393.252,398.265,395.589,0.99,2.6592,1.1162,0.0720,0.0038
CSV-SHORT,10000,10000,0.410,187.514,426.690,426.335,0.44,2.6592,1.1162,0.0720,0.0038
CSV-balanced,10000,10000,0.709,309.775,310.420,310.387,1.00,3.0907,1.1895,0.1427,0.0098
CSV-LEFT,10000,10000,1.520,655.669,659.577,660.407,0.99,3.0907,1.1895,0.1427,0.0098
CSV-SHORT,10000,10000,0.692,311.221,647.075,643.614,0.48,3.0907,1.1895,0.1427,0.0098
CSV-balanced,10000,10000,1.227,543.469,545.961,543.338,1.00,5.4525,1.3079,0.2245,0.0192
CSV-LEFT,10000,10000,2.629,1161.636,1171.049,1157.490,1.00,5.4525,1.3079,0.2245,0.0192
CSV-SHORT,10000,10000,1.225,545.041,1030.239,1025.157,0.53,5.4525,1.3079,0.2245,0.0192
