CSV,size,test,oldTime,old,new,default,old/default,dim. Est,diam. Est,meanSpacing est,var spacing est
CSV-balanced,50625,10000,1.162,510.194,513.360,511.955,1.00,4.0471,2.6688,0.2116,0.0187
CSV-LEFT,50625,10000,3.392,1452.276,1458.046,1453.869,1.00,4.0471,2.6688,0.2116,0.0187
CSV-SHORT,50625,10000,1.158,512.820,1101.043,1098.732,0.47,4.0471,2.6688,0.2116,0.0187
CSV-balanced,160000,10000,1.451,601.316,604.292,604.427,0.99,4.8872,2.7226,0.1569,0.0100
CSV-LEFT,160000,10000,8.547,3109.476,3087.897,3079.149,1.01,4.8872,2.7226,0.1569,0.0100
CSV-SHORT,160000,10000,1.457,603.954,1355.889,1352.529,0.45,4.8872,2.7226,0.1569,0.0100
CSV-balanced,390625,10000,2.054,746.175,750.487,749.719,1.00,4.7992,2.7157,0.1233,0.0064
CSV-LEFT,390625,10000,9.514,2980.048,2997.528,2997.047,0.99,4.7992,2.7157,0.1233,0.0064
CSV-SHORT,390625,10000,2.060,750.245,1646.572,1641.881,0.46,4.7992,2.7157,0.1233,0.0064
CSV-balanced,810000,10000,2.745,885.258,891.171,889.431,1.00,3.6066,2.6261,0.1012,0.0046
CSV-LEFT,810000,10000,13.856,4021.713,4000.087,3995.593,1.01,3.6066,2.6261,0.1012,0.0046
CSV-SHORT,810000,10000,2.839,889.486,1823.340,1823.296,0.49,3.6066,2.6261,0.1012,0.0046
